
Parsimony: 	0 Fitness: 	1305.0 Expr: 	Ifte((observation1 < 1) | ((observation0 < -0.05) & (observation1 < 0.1)), 2, Ifte((observation1 > -0.45) & (observation0 < 0.02) & (observation1 < -0.05), 0, Ifte(observation0 < 0, 0, 2)))
Parsimony: 	26.0 Fitness: 	369 Expr: 	Ifte(observation0 < observation0, observation0, 0.32/observation1)
Parsimony: 	27.0 Fitness: 	368 Expr: 	observation1 + 0.183946533528041 + 0.525/observation1
Parsimony: 	28.0 Fitness: 	315 Expr: 	sin(Maxi(observation1, observation0*observation1)) + Maxi(observation0/observation1, 0.635) + 1.0/observation1
Parsimony: 	29.0 Fitness: 	297 Expr: 	observation0 + observation1 + Maxi(observation0/observation1, observation0*observation1) + 1.025/observation1
Parsimony: 	30.0 Fitness: 	289 Expr: 	observation1 + Maxi(observation0/observation1, -5.55555555555556*observation0) + 1.025/observation1
Parsimony: 	31.0 Fitness: 	282 Expr: 	observation0 + Maxi(observation0/observation1, -5.55555555555556*observation0) + 1.025/observation1
Parsimony: 	32.0 Fitness: 	279 Expr: 	Maxi(-0.895 + Mini(observation1, observation0 + 0.94)/observation1, 1.195) + Maxi(observation1, 0.09)/observation1 + observation1/observation0
Parsimony: 	34.0 Fitness: 	270 Expr: 	Maxi(-0.895 + Mini(observation1, observation0 + 0.94)/observation1, (observation1 + 0.94)/(observation0 + 1.195)) + Maxi(observation1, 0.09)/observation1 + observation1/observation0
Parsimony: 	36.0 Fitness: 	269 Expr: 	Maxi(-0.895 + Mini(-observation1, observation0 + 0.94)/observation1, (observation1 + 0.96)/(observation0 + 1.195)) + Maxi(observation1 + 0.05, 0.09)/observation1 + observation1/observation0
Parsimony: 	38.0 Fitness: 	268 Expr: 	Maxi(-0.895 + Mini(observation1, observation0 + 0.94)/observation1, (observation1 + 0.94)/(observation0 + 1.195)) + Maxi((observation0 + 0.4)*sin(observation1/observation0), 0.09)/observation1 + observation1/observation0
Parsimony: 	39.0 Fitness: 	257 Expr: 	Maxi(Mini(Maxi(-observation0, observation1), observation0 + 0.945)/observation1, sin(0.255/observation1) + Maxi(observation1/observation0, 1.03/(observation0 + 1.22))) + Maxi(observation1, 0.09)/observation1 + observation1/observation0
Parsimony: 	48.0 Fitness: 	249 Expr: 	Maxi(0.09, (sin(observation1) + Maxi(Mini(observation1, observation0 + 0.94)/observation1, sin(0.255/observation1) + Maxi(observation0 - 0.98, 1.195/(observation0 + 1.22))) + Maxi(observation1, 0.09)/observation1)/(observation0 + 1.195)) + Maxi(observation0, 0.09)/observation1 + 0.09/observation0
Parsimony: 	53.0 Fitness: 	246 Expr: 	Maxi(-0.37, (observation1 + Maxi(Maxi(-0.37 + Mini(observation1, observation0 + 0.94)/observation1, observation0), sin(0.255/observation1) + Maxi(observation0 - 0.98, 1.195/(observation0 + 1.22))) + Maxi(observation1, 0.09)/observation1)/(observation0 + 1.195)) + Maxi(observation0, 0.09)/observation1 + observation1/observation0
Parsimony: 	54.0 Fitness: 	241 Expr: 	Maxi(observation0 - 0.98, (sin(observation1/observation0) + Maxi(Maxi(-0.41 + Mini(observation1/observation0, observation0 + 0.94)/observation1, -0.48), sin(0.255/observation1) + Maxi(observation1, 1.195/(observation0 + 1.22))) + 0.09/observation1)/(observation0 + 1.195)) + Maxi(observation0, 0.09)/observation1 + observation1/observation0
Parsimony: 	59.0 Fitness: 	238 Expr: 	Maxi(observation1, (sin(observation1/observation0) + Maxi(-0.37 + Mini(observation1, observation0 + 0.94)/observation1, sin(0.255/observation1) + Maxi(0.09, sin(0.255/observation1) + Maxi(1.195, (0.94 + observation1/observation0)/(observation0 + 1.22)))) + 0.09/observation1)/(observation0 + 1.195)) + Maxi(observation0, 0.09)/observation1 + observation1/observation0
Parsimony: 	62.0 Fitness: 	235 Expr: 	Maxi(0.0, (sin(observation1/observation0) + Maxi(-0.37 + Mini(observation1, observation0 + 0.94)/observation1, sin(0.255/observation1) + Maxi(0.37, sin(observation1/Mini(observation1, observation0 + 0.95)) + Maxi(observation1, (0.94 + observation1/observation0)/(observation0 + 1.22)))) + 0.09/observation1)/(observation0 + 1.195)) + Maxi(observation0, 0.09)/observation1 + observation1/observation0
Parsimony: 	65.0 Fitness: 	234 Expr: 	Maxi(0.0, (sin(observation1/observation0) + Maxi(-0.54 + Mini(observation1, observation0 + 0.94)/observation1, sin(0.255/observation1) + Maxi(-0.52, sin(observation1/Mini(observation1, observation0 + 0.95)) + Maxi(-0.06, (0.94 + observation1/observation0)/(observation0 + 1.22)))) + Maxi(observation1, 0.09)/observation1)/(observation0 + 1.195)) + Maxi(observation0, 0.09)/observation1 + observation1/observation0
Parsimony: 	66.0 Fitness: 	233 Expr: 	Maxi(1.015, (sin(observation1/observation0) + Maxi(-0.41 + Mini(-0.095, observation0 + 0.94)/observation1, sin(0.255/observation1) + Maxi(observation0, sin(observation1/Mini(observation1, observation0 + 0.94)) + Maxi(sin(observation1), (0.94 + observation1/observation0)/(observation0 + 1.22)))) + Maxi(0.98*observation1, 0.09)/observation1)/(observation0 + 1.195)) + 0.09/observation1 + observation1/observation0
